"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"20","SUN2",0.222466434134455,0.000716708872855846,0.0392278656409766,0.737588991351713,0.492714284932582,0.233455970184911,0.000716708872855846,0.0379377896698361,0.727889531272397,0.522613987524154,0.748229692223311,0.290136833951961,0.997789754246435,0.0458735271481479,0.478415215215597,0.73652585579024,0,0.437752414398595,0,0.000546249089584851,0
"21","TP53",0.241306940138326,0.0239446696875745,0.0667779632721202,0.667970426901979,0.543763068301042,0.231719532554257,0.0238015740519914,0.0724540901502504,0.672024803243501,0.529254676945514,0.976884496768152,0.145104403664033,0.888841798145771,0.285987597526357,0.484995634220007,0.781353253842839,0.520758511708088,0.717132053519488,0.440517742873764,0.0317483120241345,0
"22","TXNRD2",0.212320916905444,0.00310410697230181,0.0741642788920726,0.710410697230181,0.522869118205682,0.197277936962751,0.00291308500477555,0.0868672397325692,0.712941738299904,0.491377405161733,0.900511930460205,0.223895128152757,0.985106748301525,0.118469168772106,0.326640862527315,0.732189973614776,0.128627968337731,0.715355182166029,0.0437531192813176,0.000494722955145119,0
"23","VDR",0.166682582123759,0.0154220779220779,0.198720397249809,0.619174942704354,0.520249973783163,0.145578686019862,0.0152788388082506,0.189362108479756,0.649780366692131,0.546308433646879,0.918319086885399,0.255845040822549,0.896821501339539,0.292939835536814,0.35080711370494,0.8108074222668,0.364217652958877,0.856578050443081,0.367007498295842,0.00388665997993982,0
"24","ABL1",0.224282096612356,0.0213101438195805,0.0747288451431029,0.679678914424961,0.505297738698577,0.225285489034354,0.0224090974246261,0.0804625161259496,0.67184289741507,0.508411094109224,0.919222233674566,0.232633567913132,0.8384945060605,0.312208020545504,0.355158935451238,0.794600238663485,0.171688544152745,0.682877111240536,0.149242865463017,0.00894988066825776,0
"25","ACAT1",0.354158588600233,0,0.0783734005428461,0.567468010856921,0.528145046409874,0.255379992245056,0,0.0770647537805351,0.667555253974409,0.522893163390394,0.875350047790114,0.229810130714049,NA,NA,0.282628169016209,0.0517705064993277,0,0.314768916751713,0,0,2
"26","ACO2",0.248303606048856,0,0.138134936021714,0.61356145792943,0.530373497868335,0.209335013571152,0,0.111234974796433,0.679430011632416,0.527428509083241,0.930026449204348,0.20939759690839,NA,NA,0.386815009749834,0.281700739997492,0.016555876081776,0.498941638947687,0.150287269428485,0,2
"27","AKT1",0.152938365981844,0.027663640707119,0.210797897754419,0.608600095556617,0.497091916766109,0.147109412326804,0.0283325370281892,0.217247969421882,0.607310081223125,0.511979817737718,0.949094200403135,0.211523973530347,0.839984546024229,0.300399213461309,0.306917012694957,0.5528564453125,0.10009765625,0.493125684389828,0.0996471590217788,0.0098876953125,0
"28","AR",0.128513865844987,0.0223749703721261,0.221995733586158,0.627115430196729,0.545173673988041,0.150367385636407,0.0246029864896895,0.203744963261436,0.621284664612467,0.503538533980178,0.962162006246725,0.173026029103648,0.882340549683602,0.275028850076782,0.373558229057452,0.726671751843377,0.160055936943809,0.861184128176242,0.322067843284516,0.0111873887617595,0
"29","BAX",0.135403726708075,0.00539894887720975,0.198136645962733,0.661060678451983,0.508689565683804,0.139799331103679,0.00535117056856187,0.176493072145246,0.678356426182513,0.525452364813225,0.902429482258732,0.274390051769007,0.972734885014345,0.158158953972293,0.306338446179884,0.707922187764308,0.0883845503242176,0.827688651218063,0.197563874034462,0.00155060614603891,0
"30","BCL2",0.143948801222657,0.0111280924634636,0.237749546279492,0.607173560034387,0.532710981118564,0.150205368230012,0.0111758525169548,0.225093132104308,0.613525647148725,0.479326645584214,0.933336541129124,0.235405677156727,0.855833927783437,0.31719625334074,0.306591588750872,0.567294832826748,0.0570212765957447,0.673133959466139,0.11159169550173,0.00498480243161094,0
"31","BCL2L1",0.0972441132922577,0.00410756077757081,0.336008024072217,0.562640301857955,0.515561871155943,0.101351674069829,0.00405979844294789,0.308592443998663,0.585996083488561,0.516449418651198,0.91754654486377,0.261449180308392,0.93783973111591,0.224512066338721,0.346935934283966,0.528120563503331,0.060172545593535,0.732233502538071,0.190124596215967,0.00327618215572786,0
"32","BNIP3",0.19957009792214,0.00339144972534034,0.113780749940291,0.683257702412228,0.496639429815574,0.208311440171961,0.00334368282780033,0.137759732505374,0.650585144494865,0.536656726331267,0.862776402653171,0.287183815287075,0.98691686598645,0.111685777017758,0.42474008439144,0.691449253506259,0.192881918262705,0.366780587833219,0.0423786739576213,0.00105564771527673,0
