"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"1317","GNG3",0.487218691767404,0.000907831238950738,0.012948540302929,0.498924936690716,0.505304572404129,0.246977877586125,0.000907831238950738,0.012422953796168,0.739691337378757,0.494970665203805,0.649411874951989,0.232018373348091,0.996477112002292,0.0591029545396755,0.348616417946107,0.0102984647659006,0,0.508810572687225,0,0.000286068465719462,0
"1319","BICD1",0.262076544507621,0.00363132495580295,0.0154331310621626,0.718858999474413,0.490909073602004,0.225381050217402,0.0037268861388504,0.02002006784844,0.750871995795308,0.519416184970739,0.788140414274989,0.304150163453563,0.985342338263595,0.117272635525782,0.430452441085891,0.782290958531611,0.0285520054384772,0.567702339854239,0,0.000509857239972808,0
"1320","DNAJA1",0.241722012518515,0.000525586506760954,0.114721200248459,0.643031200726265,0.51160837688455,0.181661808973195,0.000525586506760954,0.113240001911224,0.70457260260882,0.539518802026455,0.904105622252701,0.218517976610069,0.998330109477405,0.0396946281617838,0.330968153405656,0.415205461116316,0,0.581918162704189,0,0.000267701780216838,0
"1322","NLK",0.375842132925606,0.00563810979979932,0.0271393759854747,0.59138038128912,0.514698728373134,0.366716039944575,0.0055903292082756,0.0267093506617612,0.600984280185389,0.523059003702419,0.643920329120383,0.354104769672508,0.978301836348688,0.142464678731506,0.15756169222682,0.0327408793264733,0,0.0161657286552509,0,0.00140318054256314,0
"1323","CTH",0.211074482824519,0.0233624767091873,0.0484926663800105,0.717070374086283,0.530745103418985,0.262051502556017,0.0233624767091873,0.0785915627538101,0.635994457980985,0.542575887600942,0.978549470959689,0.111022806615114,0.907488917460917,0.287573735206715,0.42620429562113,0.632049983113813,0.176460655184059,0.215907599422496,0,0.000168861870989531,0
"1325","FOXO3",0.20989010989011,0.0343526039178213,0.181939799331104,0.573817486860965,0.517275592747465,0.164166268514095,0.0338748208313426,0.146344959388438,0.655613951266125,0.520899440683613,0.866845113150014,0.307910794398774,0.865148410755236,0.338057771001574,0.367895573456056,0.245067264573991,0,0.695754716981132,0.163984461709212,0.00123318385650224,0
"1335","UBQLN2",0.21663720196856,0.00219790721009126,0.0757800181566248,0.705384872664724,0.521000086532986,0.185388695112045,0.00238902957618615,0.0778345835921449,0.734387691719623,0.524815230405522,0.706870110716836,0.334268005732222,0.988812965545421,0.103336381444758,0.290686722837463,0.715050275705482,0,0.796366252923188,0,0.000810898475510866,0
"1337","NBN",0.20195844279914,0.0130881299259613,0.108144256030571,0.676809171244328,0.533631284365916,0.174062574635777,0.0131836637210413,0.121662288034392,0.691091473608789,0.535058216855081,0.895252558568238,0.237808203663204,0.935849463191776,0.239583573747173,0.318116745116396,0.71667159326042,0.167307123854567,0.750734498221741,0.0740683469924231,0.00266036062666273,0
"1338","NDN",0.202589089519442,0.0153816757428107,0.0838349097162511,0.698194325021496,0.500348988159797,0.195567020158594,0.0153816757428107,0.0899971338492405,0.699054170249355,0.493797154144808,0.80883348266367,0.277064154109289,0.936971356941804,0.238305138862903,0.371916393277954,0.83713200379867,0.0899018676796455,0.748095238095238,0.0441269841269841,0.00126622348844571,0
"1345","RPL11",0.226336662047876,0.0074537722777008,0.0314396292226098,0.734769936451813,0.517408606587175,0.209040087916288,0.00740599168617708,0.0304840173921353,0.753069903005399,0.501799953601061,0.761775600743939,0.290133155751496,0.96734123102194,0.173743984724754,0.30758456146373,0.709061430372906,0,0.792956656346749,0,0.00144118176905062,0
"1347","MAFB",0.210300019109497,0.000429963691954902,0.0439996178100516,0.745270399388496,0.508611121724319,0.209965602904644,0.000429963691954902,0.0466749474488821,0.742929485954519,0.497320898737991,0.892819029774329,0.211949238549832,0.998552107792401,0.0364309018134931,0.434765321043768,0.797636909227307,0.162603150787697,0.878647091618658,0.136591711577774,0.00018754688672168,0
"1348","MCRS1",0.239667447082995,0.00291461608294711,0.00396578909646901,0.753452147737589,0.514133203237293,0.220985235797219,0.00315351904056572,0.00401356968799274,0.771847675474222,0.506984342082945,0.544177281765511,0.409103431603993,0.985077609779521,0.118397242637514,0.290773312720658,0.703488372093023,0,0.781989528795812,0,0.000968992248062015,0
"1349","WWTR1",0.243072807185171,0.0115134721956813,0.0443340340149054,0.701079686604242,0.513542256395757,0.209201223007835,0.0121345308618383,0.0667876934836614,0.711876552646665,0.541122442605662,0.823716319881376,0.235710012728022,0.94816876564918,0.217575293437353,0.368974279540883,0.798305897394918,0.111874700335624,0.586635715470071,0,0.00159821000479463,0
"1351","KIAA0586",0.231162501791772,0.0204978737636772,0.0410435281188781,0.707296096325672,0.508486075686128,0.20880118495867,0.0209278990873907,0.0435758994696354,0.726695016484304,0.508151740367381,0.604383548564613,0.372991529587623,0.907488917460917,0.287573735206715,0.264429139055788,0.722657525301992,0.0161606268364349,0.814160839160839,0,0.000163238654913484,0
"1352","GABARAPL1",0.234330212115421,0.00176762851137015,0.084559526084464,0.679342633288745,0.484571482704991,0.330164341677814,0.00171985476781961,0.0895757691572712,0.578540034397095,0.510058117594901,0.862686856246432,0.222958658511921,0.978752625219312,0.131789358263132,0.387109491548044,0.660458879618594,0.0292014302741359,0.0897755610972569,0,0.00372467222884386,0
"1353","RAB1A",0.244302164460796,0.00109895360504563,0.0841894022648,0.670409479669358,0.527784442017457,0.216111615461799,0.00109895360504563,0.0819914950547088,0.700797935878446,0.54254309823748,0.782600020081549,0.269281061050382,0.996794384062056,0.0561415625208442,0.314148645234578,0.384024354885474,0.000289939112786315,0.382465665921431,0,0.000724847781965787,0
"1354","INSR",0.251886882583357,0.00874175981656635,0.0813031432119996,0.658068214388077,0.535510099648118,0.210088850673545,0.00864622145791535,0.0764784561001242,0.704786471768415,0.513973346183462,0.89098362704348,0.26033005161583,0.964950562675296,0.179809464191836,0.418489626807234,0.395361832914222,0.100447052249232,0.61294498381877,0.119255663430421,0.00237496507404303,0
"1355","RQCD1",0.273257202924172,0.00731043050312963,0.00955611830474461,0.709876248267954,0.494797933214092,0.226049978498734,0.00778823641836686,0.00998614362845812,0.756175641454441,0.523084777691545,0.787834993588177,0.246045002408919,0.968158354468638,0.172562189826531,0.294066394204426,0.699440052700922,0,0.811483441113071,0,0.000658761528326746,0
